㬫	zin3
㬬	ak1
㬭	ziu3
㬮	nan6
㬯	lit6
㬰	zyu4
㬱	tai3
㬲	tim1
㬳	ng5
㬴	fung2
㬵	gaau1
㬶	hou6
㬸	tiu1
㬹	zaang1
㬻	baang1
㬼	fuk6
㬿	daan6
㭁	zing4
㭂	niu1
㭃	gong1
㭄	seon3
㭇	zyun2
㭈	kyut3
㭉	waa4
㭊	sik1
㭋	bang5
㭌	zyu1
㭍	cat1
㭎	gong1
㭏	wai5
㭑	mui6
㭒	zi2
㭓	bin6
㭔	lou4
㭕	keoi1
㭘	haap6
㭙	zaak6
㭚	leoi5
㭛	paai3
㭜	zung4
㭝	kau4
㭞	lyut3
㭟	gung2
㭠	sin2
㭡	sai3
㭢	hing1
㭤	niu5
㭨	je4
㭩	lyut3
㭪	fu1
㭫	co4
㭬	tou5
㭭	baat3
㭮	cyut3
㭯	cit3
㭰	zyu1
㭱	haap6
㭲	gik6
㭴	gin1
㭸	tou4
㭹	zin4
㭺	zim2
㭻	tong4
㭼	dap6
㭽	dai2
㭾	gwat6
㭿	ngong4
㮀	haam4
㮁	ngau4
㮂	guk1
㮃	wai1
㮄	bong2
㮅	zeoi1
㮆	zit6
㮇	tim3
㮈	noi6
㮋	zaau5
㮌	min2
㮍	zin1
㮎	bui1
㮏	noi6
㮐	sing2
㮑	caap3
㮒	zaan1
㮓	gang2
㮔	cung1
㮕	zyun5
㮖	gat3
㮗	kaan4
㮘	maau6
㮙	ngok6
㮚	leot6
㮛	ci4
㮜	zong1
㮝	hat6
㮞	zit3
㮟	nin5
㮡	gun3
㮢	hau4
㮣	huk1
㮤	cung4
㮥	faan5
㮦	sok3
㮧	waat1
㮨	zik1
㮩	sik1
㮪	kung4
㮫	haat6
㮬	zung1
㮭	ham4
㮮	git3
㮯	wan4
㮰	pei4
㮱	sing1
㮲	caai1
㮳	zaam6
㮴	sau1
㮵	zin1
㮶	sak3
㮷	gai1
㮸	sung3
㮹	zi2
㮺	bun2
㮼	sin3
㮾	long5
㮿	bit1
